Date et Heure,Température (°C),Humidité (%),Statut,Alertes,Risque de Panne (%),Statut Moteur,Détails
2025-04-21 03:04:18,22.8,71.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:04:28,22.8,71.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:04:38,22.8,71.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:04:48,22.9,71.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:04:58,22.8,71.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:05:08,22.8,71.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:05:18,22.8,71.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:05:28,22.9,71.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:05:38,22.8,70.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 03:05:48,32.3,99.9,alert,TEMP_HAUTE | HUMIDITE_CRITIQUE_HAUTE,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 03:05:58,31.9,96.0,alert,TEMP_HAUTE | HUMIDITE_CRITIQUE_HAUTE,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 03:06:08,30.5,95.2,alert,TEMP_HAUTE | HUMIDITE_CRITIQUE_HAUTE,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 03:06:18,29.5,94.3,alert,HUMIDITE_CRITIQUE_HAUTE,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 03:06:28,28.7,93.1,alert,HUMIDITE_CRITIQUE_HAUTE,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 03:06:38,28.1,92.5,alert,HUMIDITE_CRITIQUE_HAUTE,100.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:06:48,27.6,92.4,alert,HUMIDITE_CRITIQUE_HAUTE,100.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:06:58,27.0,92.4,alert,HUMIDITE_CRITIQUE_HAUTE,100.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:08,26.6,92.4,alert,HUMIDITE_CRITIQUE_HAUTE,100.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:18,26.2,91.9,alert,HUMIDITE_CRITIQUE_HAUTE,85.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:28,25.9,91.8,alert,HUMIDITE_CRITIQUE_HAUTE,65.0,ATTENTION,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:38,25.6,91.6,alert,HUMIDITE_CRITIQUE_HAUTE,65.0,ATTENTION,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:48,25.3,90.4,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:07:58,25.1,90.6,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:08,24.9,90.2,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:18,24.7,89.7,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:28,24.4,89.1,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:38,24.4,88.2,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:48,24.3,86.3,alert,HUMIDITE_CRITIQUE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:08:58,24.1,84.2,alert,HUMIDITE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:08,24.0,82.8,alert,HUMIDITE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:18,24.0,82.7,alert,HUMIDITE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:28,23.9,82.3,alert,HUMIDITE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:38,23.9,82.3,alert,HUMIDITE_HAUTE,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:48,23.9,81.8,normal,NORMAL,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:09:58,23.8,80.9,normal,NORMAL,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:10:08,23.7,80.7,normal,NORMAL,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 03:10:18,23.7,80.0,normal,NORMAL,35.0,OK,⚠️ Humidité excessive | ⚠️ Fréquence d'alertes élevée
2025-04-21 10:15:22,24.7,65.5,normal,NORMAL,0.0,OK,Normal
